sentence_id,dialogue_id,utterance_de,speaker,label,orig_dialogue_id
0,0,dass ich die Umstellung von KL5 auf GR6 leitete.,Chandler,neutral,0
1,0,NOT FOUND,The Interviewer,neutral,0
2,0,"- Da hatten Sie viel zu tun. - Das hatte ich, ja, das hatte ich.",Chandler,neutral,0
3,0,Und nun wollen wir über Ihre Aufgaben reden.,The Interviewer,neutral,0
4,0,Meine Aufgaben?,Chandler,surprise,0
5,0,Sie leiten eine Abteilung. Da warten sehr viele Aufgaben.,The Interviewer,neutral,0
6,0,"Ja, verstehe.",Chandler,neutral,0
7,0,auf die können Sie eine Menge Aufgaben verteilen.,The Interviewer,neutral,0
8,0,NOT FOUND,Chandler,neutral,0
9,0,- Gut zu wissen. - Soll ich ins Detail gehen?,The Interviewer,neutral,0
10,0,"Nein, nein, ich bitte Sie.",Chandler,fear,0
11,0,Ich bin ganz zuversichtlich. Sie werden sich wohl fühlen.,The Interviewer,neutral,0
12,0,- Wirklich? - Da bin ich mir ganz sicher.,Chandler,surprise,0
13,0,- Sie haben sich sehr gut geschlagen. - Ich danke Ihnen.,The Interviewer,neutral,0
0,1,"Die Kellnerin, mit der ich letzten Monat ausging?",Joey,surprise,1
1,1,"- Weißt du was? Vergiss es. - Nein, nein.",Rachel,sadness,1
2,1,"- Ich spreche nicht von ihr. - Nun, von wem dann?",Joey,surprise,1
3,1,"Ich weiß wirklich nicht, wen ich meine, daher...",Rachel,fear,1
4,1,- Ok. - Ja.,Joey,neutral,1
5,1,- Ok. - Ja.,Joey,neutral,1
8,1,- Ok. - Ja.,Rachel,neutral,1
0,2,"Hi, Monica.",Chandler,neutral,2
1,2,NOT FOUND,Monica,neutral,2
2,2,NOT FOUND,Chandler,joy,2
3,2,- Chris will den Laden zumachen. - Das ist nicht wahr.,Monica,sadness,2
4,2,NOT FOUND,Chandler,surprise,2
5,2,"Doch, sie wollen so eine Art Café daraus machen.",Monica,neutral,2
6,2,- Wo langweilen wir uns in Zukunft? - Frag mich nicht.,Chandler,disgust,2
7,2,- Wo langweilen wir uns in Zukunft? - Frag mich nicht.,Monica,sadness,2
8,2,"- Ein Bier, bitte. - Hast du einen Mitbewohner gefunden?",Chandler,neutral,2
9,2,"- Ein Bier, bitte. - Hast du einen Mitbewohner gefunden?",Monica,neutral,2
10,2,NOT FOUND,Chandler,joy,2
11,2,- Aber klar. - Etwa diesen Italiener?,Monica,neutral,2
12,2,"Hm, ja, genau.",Chandler,joy,2
0,3,"Du meine Güte, wie furchtbar. Die arme Monica.",Phoebe,surprise,3
1,3,NOT FOUND,Chandler,surprise,3
2,3,NOT FOUND,Phoebe,surprise,3
3,3,Er vergnügt sich mit ihr und schreibt so ein Gedicht?,Phoebe,neutral,3
4,3,"Du, meine Vase, so leer Als ich dich berührte",Phoebe,neutral,3
5,3,Und nun noch leerer Seit ich dich verführte,Phoebe,neutral,3
6,3,"Er meint, Monica sei innerlich leer. Monica ist die leere Vase.",Phoebe,surprise,3
8,3,Wie schrecklich. Und Monica scheint darüber auch noch glücklich zu sein.,Phoebe,sadness,3
9,3,Fertig.,Joey,neutral,3
0,4,- Hey. - Hi.,Rachel,surprise,4
1,4,- Hey. - Hi.,Ross,joy,4
2,4,Was tust du denn hier?,Rachel,surprise,4
3,4,"Hier in der Nähe kaufe ich meine Zeitung, musst du wissen.",Ross,neutral,4
4,4,- Oh. Hi. - ROSS: Hi.,Rachel,neutral,4
5,4,- Hey. - Hi.,Ross,neutral,4
6,4,- Hey. - Hi.,Rachel,neutral,4
7,4,Wie ist es denn abgelaufen?,Ross,neutral,4
8,4,"Am Anfang ist die Frau streng mit mir umgesprungen,",Rachel,joy,4
9,4,- Ich bin ja so stolz auf dich. - Das kann ich verstehen.,Ross,joy,4
10,4,NOT FOUND,Rachel,joy,4
11,4,Ich war eifersüchtig. Ich liebe dich.,Ross,sadness,4
12,4,Ich dich auch.,Rachel,neutral,4
13,4,- ROSS: Ja? - Ja.,Ross,neutral,4
14,4,Ja.,Rachel,neutral,4
0,5,Americhan.,Phoebe,neutral,5
1,5,Americhan.,Joey,neutral,5
2,5,-Americhein. -Americhan.,Phoebe,neutral,5
3,5,NOT FOUND,Sergei,surprise,5
0,6,"Gute Arbeit, Joey! Ausgezeichnet!",Chandler,joy,6
1,6,"- Ja, echt? Du fandst es gut? - Ja!",Joey,surprise,6
2,6,NOT FOUND,Chandler,joy,6
3,6,NOT FOUND,Joey,neutral,6
4,6,"- Was hat dir besonders gut gefallen? - Na, einfach alles. Los, gehen wir!",Chandler,neutral,6
5,6,"Nein. Ich will wissen, was dir gefallen hat.",Joey,anger,6
6,6,Die Einzelheiten waren besonders gut. Die waren für mich das Beste.,Chandler,joy,6
7,6,Wie hat dir denn die Szene mit dem Känguru gefallen? Die war doch toll!,Joey,neutral,6
8,6,"Ich war überrascht, ein Känguru zu sehen, in einem Epos vom Ersten Weltkrieg.",Chandler,surprise,6
9,6,Du hast ein Nickerchen gemacht!,Joey,anger,6
10,6,Es gab gar kein Känguru! Sie hatten kein Ohr für meine Vorschläge!,Joey,anger,6
11,6,Es gab gar kein Känguru! Sie hatten kein Ohr für meine Vorschläge!,Joey,anger,6
12,6,NOT FOUND,Joey,neutral,6
13,6,NOT FOUND,Joey,neutral,6
14,6,NOT FOUND,Chandler,sadness,6
15,6,NOT FOUND,Chandler,sadness,6
16,6,NOT FOUND,Chandler,sadness,6
17,6,NOT FOUND,Chandler,surprise,6
18,6,"Hey, der Typ ist auch eingeschlafen, und auf den bist du nicht böse!",Chandler,anger,6
19,6,"Hey, der Typ ist auch eingeschlafen, und auf den bist du nicht böse!",Chandler,anger,6
20,6,NOT FOUND,Chandler,anger,6
21,6,"Hey! Einen Arzt, bitte!",Chandler,anger,6
0,7,"Wir sollten Rachel sagen, dass sie das Dessert vermasselt hat.",Joey,neutral,7
1,7,Heute ist Thanksgiving,Ross,anger,7
0,8,"Ja, und es ist mein letzter Wunsch, diesen Ring zu besitzen.",Phoebe,neutral,8
1,8,"Wenn ich ohne den Ring begraben werde,",Phoebe,neutral,8
2,8,"Ok, das reicht, Liebling.",Chandler,neutral,8
3,8,- Zeigen Sie mal her. - Gut.,Customer,neutral,8
4,8,"Ok, hier.",Chandler,joy,8
5,8,"- Gut, ich werde ihn nehmen. - Danke schön.",Customer,neutral,8
6,8,"- Gut, ich werde ihn nehmen. - Danke schön.",Chandler,joy,8
0,9,"(MIT TIEFER STIMME): Und, äh, was hast du so gemacht?",Chandler,neutral,9
1,9,"Aerobics unterrichtet,",Jade,neutral,9
2,9,die Beine auf dem neuen James-Bond-Poster sind meine.,Jade,neutral,9
3,9,"Warte mal bitte, ich hab da noch einen Anruf.",Chandler,joy,9
4,9,NOT FOUND,Ross,neutral,9
5,9,NOT FOUND,Chandler,neutral,9
6,9,- Ich bin wieder dran. - JADE: Wollen wir uns mal wieder treffen?,Jade,neutral,9
7,9,"Äh, kennst du das Central Perk? Sagen wir, so gegen 17 Uhr?",Chandler,neutral,9
8,9,- JADE: Gut. Bis dann. - Ok.,Jade,neutral,9
9,9,So ein Telefon ist doch wirklich eine super Erfindung.,Chandler,joy,9
10,9,"wird sie merken, dass du nicht Bob bist.",Ross,neutral,9
11,9,wird sie Trost in den Armen eines Fremden suchen.,Chandler,neutral,9
12,9,"Also, das ist aber ganz schön fies von dir.",Ross,disgust,9
13,9,Spitz und einsam.,Chandler,anger,9
0,10,NOT FOUND,Phoebe,anger,10
1,10,Niemand respektiert meinen Eimer.,Phoebe,anger,10
2,10,"Ihr glaubt ja überhaupt nicht, was da alles reingeworfen wird.",Phoebe,anger,10
3,10,NOT FOUND,Phoebe,anger,10
4,10,- Sieht das wie ein Mülleimer aus? - Nein.,Phoebe,anger,10
5,10,NOT FOUND,Monica,neutral,10
0,11,Wir sind jetzt aber spät dran. Los doch.,Ross,neutral,11
1,11,Wir sind jetzt aber spät dran. Los doch.,Monica,anger,11
2,11,"Du kannst es dir auf Video ansehen, wenn wir wieder da sind.",Ross,neutral,11
3,11,"Hier ist dein Buch, Phoebe. Phoe-Phobo. Phabe-bo.",Chandler,joy,11
4,11,Wiedersehen.,Phoebe,neutral,11
5,11,Wiedersehen.,Phoebe,neutral,11
6,11,"Bis dann, Phoebe.",Ross,joy,11
7,11,"Bis dann, Phoebe.",Joey,joy,11
8,11,"JOEY: Juhu. London, Baby.",Joey,joy,11
9,11,Du brauchst mir auch nichts zu bringen.,Phoebe,joy,11
0,12,- Hey. - Hey.,Chandler,neutral,12
1,12,Estelle hat mir für morgen ein paar Vorsprechtermine besorgt.,Joey,joy,12
2,12,"Das ist schön, aber solltest du nicht mal auf die Toilette gehen?",Chandler,disgust,12
3,12,NOT FOUND,Joey,surprise,12
4,12,- Was? - Was ist denn los mit dir?,Chandler,disgust,12
5,12,NOT FOUND,Joey,neutral,12
6,12,"Nichts. Ich hatte im Magen so einen Schmerz,",Joey,fear,12
7,12,"Aber ich glaube nicht, dass es was Ernstes ist.",Joey,neutral,12
8,12,Du solltest einen Arzt aufsuchen. Das hört sich nach einem Bruch an.,Chandler,surprise,12
9,12,"Quatsch! Wenn ich zum Arzt gehe, dann nur,",Joey,fear,12
10,12,Das ist sicher ein Leistenbruch.,Chandler,disgust,12
11,12,Wieso habe ich auch wieder angefangen zu trainieren?,Joey,anger,12
0,13,"Deine Wohnung gefällt mir sehr gut, woher ist der kleine Mann?",Mona,joy,13
1,13,"Äh, das ist ein indisches Artefakt aus Kalkutta, musst du wissen.",Ross,neutral,13
2,13,Du bietest mehr als Dinosaurier.,Mona,surprise,13
3,13,"- Ja, sehr viel mehr. - Mm.",Ross,neutral,13
0,14,Wir 2 haben sehr viel Spaß. Und du siehst sehr jung aus.,Ross,neutral,14
1,14,"- Ok. - Aber das ist nicht genug, finde ich.",Mona,neutral,14
2,14,bekommst du den Schlüssel zu meiner Wohnung.,Ross,neutral,14
3,14,- Wirklich? - Wirklich!,Mona,surprise,14
4,14,- Wirklich? - Wirklich!,Ross,neutral,14
5,14,- Und das geht nicht ein bisschen zu schnell? - Mhm-hm.,Mona,neutral,14
0,15,NOT FOUND,Ross,anger,15
1,15,"- Ross? Kann ich dich kurz sprechen? - Ja, gerne.",Charlie,neutral,15
2,15,Was gibt's denn?,Ross,neutral,15
3,15,Joey und ich haben Schluss gemacht.,Charlie,sadness,15
4,15,"- Mein Gott, was ist denn passiert? - Joey ist ein klasse Typ,",Ross,surprise,15
5,15,Während deiner Rede hat er ständig über <i>'Homo erectus'</i> gelacht.,Charlie,sadness,15
6,15,"Wusste ich doch, dass er das war!",Ross,anger,15
7,15,"Jedenfalls glaube ich, dass es so am besten ist.",Charlie,sadness,15
8,15,- Hey. Ist alles ok? - Ich denke schon.,Ross,neutral,15
9,15,NOT FOUND,Charlie,sadness,15
10,15,Ich habe auch noch aus einem anderen Grund mit Joey Schluss gemacht.,Charlie,neutral,15
11,15,"Ich stellte fest, dass ich für jemand anderen mehr empfinde.",Charlie,neutral,15
12,15,"Ok, Geller. Heute ist der letzte Tag der Tagung.",Paleontologist,neutral,15
13,15,"Professor Klarik, wir befinden uns gerade mitten in einer Unterhaltung.",Ross,neutral,15
14,15,- Können Sie ihn später reinschmeißen? - Oder wir werfen Sie einfach beide rein.,Charlie,neutral,15
15,15,- Können Sie ihn später reinschmeißen? - Oder wir werfen Sie einfach beide rein.,Professore Clerk,joy,15
16,15,Los! Los! Los!,Ross,anger,15
17,15,NOT FOUND,Ross,anger,15
18,15,Aber meine Herren. Sind wir nicht ein wenig zu alt für diesen Unsinn?,Ross,anger,15
19,15,"Wir sind doch Wissenschaftler. Wir sind Akademiker,",Ross,neutral,15
20,15,"Wir sind doch Wissenschaftler. Wir sind Akademiker,",Ross,anger,15
21,15,und außerdem müssen Sie uns erst einmal fangen.,Ross,joy,15
22,15,Los! Los! Los!,Ross,joy,15
0,16,"ROSS: Los, los, los!",Ross,joy,16
1,16,"RACHEL: Auf einmal mögt ihr meinen Hut, was?",Rachel,joy,16
2,16,Oje.,Phoebe,disgust,16
3,16,Warum liegt hier so viel Sand?,Monica,surprise,16
